Gene name,ORF name,cer Ace2,par Ace2,Hyc Ace2,Hyp Ace2,cer Swi5,par Swi5,Hyc Swi5,Hyp Swi5,cer Fkh1,par Fkh1,Hyc Fkh1,Hyp Fkh1,cer Fkh2,par Fkh2,Hyc Fkh2,Hyp Fkh2
TFC3,YAL001C,359.5826812,571.0608474,629.1672381,622.4764835,687.3191279,276.8638071,906.667987,596.7308024,734.7531344,1327.001804,714.8666639,1741.5039,606.959576,741.3185552,455.000775,779.5818352
VPS8,YAL002W,249.796682,588.6406169,436.4805689,608.1779589,538.1291954,359.1694965,405.6870528,503.0433207,444.4847132,1272.164243,802.5389906,1212.954079,625.5727388,837.7628812,813.6427671,1330.840987
EFB1,YAL003W,877.5273213,1132.854632,1110.105493,1263.059101,892.2790141,499.5852027,942.1568307,917.1146778,1258.881422,1666.511995,1611.822006,1084.204763,1515.318627,1687.873275,2346.895289,2358.352281
YAL004W,YAL004W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SSA1,YAL005C,882.6600594,1154.047051,1107.149123,1273.673777,895.3381937,479.1849251,978.314111,916.790684,1213.948628,1643.506327,1490.429554,1063.875924,1519.722509,1679.782961,2292.012535,2291.912261
ERP2,YAL007C,229.0383961,495.9327106,331.1975514,601.893005,574.0101201,253.5187397,301.595183,474.6260876,415.674482,468.5102109,316.9691812,752.1670543,309.8158402,485.5906036,314.2897261,346.6304302
FUN14,YAL008W,206.762501,339.3395531,377.9450103,313.0552611,485.8946003,328.2161654,353.8561507,350.1660682,236.4772246,191.1991193,155.112578,88.09163699,277.154933,272.8818781,148.9523245,223.1773912
SPO7,YAL009W,186.8760939,339.0315562,298.6956442,347.599513,493.2106954,294.2276632,415.3183396,475.5106286,245.7991717,131.6852855,148.3685529,121.9730358,209.5372443,212.0860121,184.2765513,159.0992317
MDM10,YAL010C,195.6749137,292.2891999,379.0825171,369.201199,494.1919503,603.7065903,331.796749,335.4663549,272.3985753,114.5903156,121.3924524,128.7493156,218.9465386,183.5745939,134.7708789,145.6846016
SWC3,YAL011W,238.2236449,451.0164885,297.8645147,417.9074918,524.6905473,324.2930993,306.7362312,342.9764001,233.9622305,465.5946823,283.2490555,271.0511907,253.5006975,296.0259072,132.4512084,160.205712
CYS3,YAL012W,301.6975015,815.9998144,388.463284,702.0532984,656.2888573,1477.520632,463.3402105,844.7582666,231.3771726,334.1084975,155.112578,121.9730358,265.2462102,378.7788065,228.5697823,272.2333416
DEP1,YAL013W,450.7468976,528.0235058,584.4348498,438.1119456,793.4325917,751.0544551,1070.194512,745.6672291,301.5146593,239.8870618,249.5289298,128.7493156,360.888129,284.7452211,99.18367287,200.9529516
SYN8,YAL014C,418.7941489,500.8605596,576.2719308,467.5895568,810.026121,816.9832751,1033.418385,728.1674527,312.8566146,222.8717322,236.0408796,162.6307144,351.4022597,326.5791051,116.1921822,131.8924595
NTG1,YAL015C,180.7556701,313.0868678,276.7090467,304.5210316,509.7318471,56.40974044,368.6952068,270.7411468,174.8682967,120.3019123,47.20817592,162.6307144,169.2252004,233.6740845,68.88012929,124.8205674
TPD3,YAL016W,341.4870279,693.0155893,697.1432944,789.3459925,635.9947596,766.6562329,1214.376584,1248.210855,621.8300212,531.7757963,869.9792419,874.1400901,438.5866971,530.3410796,510.6330123,1117.784655
PSK1,YAL017W,277.7660138,501.5141012,413.5774941,423.3224499,585.0094518,706.3135709,515.6378588,608.0630658,580.151142,293.7689391,559.7540859,257.4986312,885.0195639,411.2001447,1480.113148,178.5936725
LDS1,YAL018C,NaN,592.172125,NaN,342.8235186,NaN,422.929974,NaN,556.5296625,NaN,411.2747833,NaN,325.2614289,NaN,475.204758,NaN,448.3556273
FUN30,YAL019W,184.8670812,647.5031485,305.7091323,599.0439421,548.903462,421.1480268,315.3815284,709.8845921,212.807346,239.926882,67.44025131,189.7358335,235.6019459,278.8719807,202.9309673,165.4234084
ATS1,YAL020C,207.83819,619.5872136,318.2737683,537.4834741,562.6378288,475.5640301,335.1951148,593.7047971,239.6948427,185.9653644,67.44025131,155.8544347,219.4417813,221.8491443,173.8022019,235.9770806
CCR4,YAL021C,232.8788969,417.5237397,330.6331749,477.9611723,542.2883407,110.0121649,299.4139648,304.4426299,235.4680107,174.30325,47.20817592,67.76279768,261.2984649,284.5315251,231.343325,135.4982615
