Id	Name	Peak(min)	Error	Score
YDR097C	MSH6	50	1.828	5.63
YDL003W	MCD1	57	2.215	9.91
YKL045W	PRI2	44.5	1.285	5.88
YBL035C	POL12	45	1.398	8.07
YOL007C	YOL007C	51	1.454	8.41
YLR103C	CDC45	45.5	1.263	11.64
YBR088C	POL30	49	1.145	12.64
YPL153C	RAD53	37.5	1.823	4.21
YOL090W	MSH2	47	1.405	6.50
YOL017W	ESC8	46.5	1.878	5.96
YLR183C	TOS4	48	2.229	11.68
YAR007C	RFA1	170	NQ	2.01
YAR007C	RFA1	50	NQ	3.75
YNL082W	PMS1	49.5	1.518	3.55
YCL024W	KCC4	42.5	1.062	6.61
YPR135W	CTF4	255.5	NQ	1.87
YPR135W	CTF4	47.5	NQ	2.75
YPL256C	CLN2	51.5	1.252	15.60
YMR179W	SPT21	42.5	3.733	5.32
YPR175W	DPB2	40	0.939	6.70
YNL233W	BNI4	32	2.190	4.06
YER070W	RNR1	47	1.205	22.66
YNL273W	TOF1	263.5	NA	1.42
YNL273W	TOF1	44	1.485	4.24
YOR074C	CDC21	46.5	1.064	11.55
YGR221C	YGR221C	47.5	2.231	4.52
YDR507C	GIN4	45.5	1.150	9.07
YDL156W	YDL156W	31	4.392	2.84
YML027W	YOX1	53	1.916	17.51
YGR109C	CLB6	47	3.452	3.98
YJL115W	ASF1	48.5	2.755	3.90
YJL115W	ASF1	96	NA	1.51
YGR152C	RSR1	19	2.533	8.20
YPR018W	RLF2	45	2.860	4.75
YOR144C	ELG1	45.5	3.148	3.98
YCL061C	MRC1	48.5	1.476	5.62
YPR174C	YPR174C	43	NQ	2.48
YPL267W	YPL267W	43.5	1.134	9.98
YJL074C	SMC3	53	0.794	7.55
YIL140W	AXL2	50.5	2.310	6.37
YAR008W	SEN34	43.5	1.128	5.91
YKL113C	RAD27	47.5	1.680	5.71
YNL312W	RFA2	49	1.899	5.35
YBR070C	YBR070C	157	NA	1.80
YBR070C	YBR070C	45.5	1.201	5.72
YLL022C	YLL022C	274.5	NA	1.61
YLL022C	YLL022C	49.5	66.507	1.96
YDL101C	DUN1	177.5	NA	1.26
YDL101C	DUN1	47.5	1.530	3.39
YLR313C	SPH1	42.5	2.336	3.91
YLR383W	RHC18	54.5	1.549	3.86
YHR153C	SPO16	55.5	1.344	3.28
YNL309W	STB1	38.5	1.101	4.11
YLR212C	TUB4	46	2.155	2.82
YMR078C	CTF18	52.5	1.237	8.77
YDR440W	DOT1	43.5	1.401	4.12
YGR189C	CRH1	173.5	NQ	4.98
YGR189C	CRH1	51.5	NQ	2.84
YOR033C	EXO1	33.5	3.343	4.70
YCR065W	HCM1	33.5	1.951	3.92
YLR032W	RAD5	148.5	NQ	1.25
YLR032W	RAD5	36.5	NQ	2.90
YKL101W	HSL1	62	2.612	5.78
YPL208W	YPL208W	49	NQ	3.08
YHL050C	YHL050C	131	NQ	2.02
YHL050C	YHL050C	39	NQ	3.76
YML020W	YML020W	45	NQ	2.71
YDR279W	YDR279W	123	NQ	1.35
YDR279W	YDR279W	39.5	NQ	2.66
YDL103C	QRI1	109	NA	1.39
YDL103C	QRI1	46	1.347	3.48
YDL164C	CDC9	45.5	1.183	6.54
YNL072W	YNL072W	51	1.873	5.17
YOR321W	PMT3	194	NQ	1.47
YOR321W	PMT3	50	NQ	4.23
YGL038C	OCH1	48	NQ	4.31
YMR199W	CLN1	49	0.902	8.66
YLR121C	YPS3	174.5	NA	0.94
YLR121C	YPS3	49.5	6.430	2.18
YNL262W	POL2	46.5	1.602	5.41
YJL187C	SWE1	59	1.848	9.85
YHR218W	YHR218W	124.5	NQ	1.76
YHR218W	YHR218W	42	NQ	3.83
YKR013W	PRY2	48	0.760	20.60
YIL177C	YIL177C	132.5	NQ	2.87
YIL177C	YIL177C	44	NQ	2.56
YJR030C	YJR030C	41.5	0.764	11.63
YLR467W	YRF1-5	208	NQ	1.39
YLR467W	YRF1-5	46.5	NQ	4.08
YDL211C	YDL211C	50	NQ	3.88
YBR071W	YBR071W	164	1.476	6.87
YBR071W	YBR071W	47	NA	2.27
YML061C	PIF1	59	4.488	3.30
YFL008W	SMC1	116	NA	1.63
YFL008W	SMC1	47	1.115	4.65
YPL163C	SVS1	56.5	1.341	17.31
YLL002W	RTT109	47.5	1.652	4.83
YNL339C	YRF1-6	36	NQ	4.37
YDL018C	ERP3	144	NQ	3.73
YDL018C	ERP3	48	NQ	3.45
YNL310C	YNL310C	114	NQ	1.78
YNL310C	YNL310C	44.5	NQ	3.07
YML102W	CAC2	109	NA	1.97
YML102W	CAC2	35.5	1.416	3.70
YNL334C	SNO2	41	2.158	7.02
YOR195W	SLK19	189.5	NQ	1.43
YOR195W	SLK19	52.5	NQ	3.13
YER111C	SWI4	161	1.548	3.01
YER111C	SWI4	43.5	NA	2.41
YBR073W	RDH54	48.5	6.032	2.71
YER095W	RAD51	154	45.457	2.43
YER095W	RAD51	44	NA	1.28
YNL289W	PCL1	53.5	2.941	23.03
YMR076C	PDS5	55	1.428	8.22
YHR127W	YHR127W	257.5	NQ	0.96
YHR127W	YHR127W	51	NQ	2.80
YDL102W	CDC2	43	3.876	2.98
YPL124W	SPC29	57	5.369	6.92
YKL089W	MIF2	34	NQ	3.81
YIL026C	IRR1	50	1.198	5.87
YDR503C	LPP1	42.5	NQ	4.52
YDL197C	ASF2	162.5	NQ	2.88
YDL197C	ASF2	46	NQ	2.20
YPL255W	BBP1	52	2.640	4.84
YHR149C	YHR149C	27.5	1.328	11.16
YER001W	MNN1	37.5	2.170	8.63
YNL102W	POL1	47	1.375	9.91
YKR090W	YKR090W	193.5	NA	1.03
YKR090W	YKR090W	57	4.532	3.12
YDL093W	PMT5	158	NQ	0.91
YDL093W	PMT5	45.5	NQ	2.66
YGR296W				
YLR464W	YLR464W	46.5	NQ	2.72
YKL165C	MCD4	45.5	1.476	5.55
YHR154W	RTT107	49.5	NQ	7.62
YNL304W	YPT11	43	NQ	1.96
YBR275C	RIF1	49.5	3.800	4.76
YNL300W	YNL300W	51.5	1.360	17.62
YHR219W				
YDR400W	URH1	33.5	1.817	6.49
YNL181W	YNL181W	224	NQ	1.31
YNL181W	YNL181W	56	NQ	2.01
YLL067C	YLL067C	129	NQ	1.63
YLL067C	YLL067C	41	NQ	4.12
YNL231C	PDR16	13	NQ	4.04
YNL231C	PDR16	78	NQ	2.67
YFL067W	YFL067W	NA	NQ	
YML060W	OGG1	12.5	1.199	5.67
YMR048W	CSM3	49.5	2.029	5.87
YOR114W	YOR114W	163	NQ	1.89
YOR114W	YOR114W	59.5	NQ	3.56
YGL027C	CWH41	51	1.116	4.47
YBR087W	RFC5	15	NA	1.99
YBR087W	RFC5	56.5	15.213	3.43
YGL207W	SPT16	187	NQ	1.85
YGL207W	SPT16	51.5	NQ	1.81
YJR043C	POL32	NA	NQ	
YJR006W	HYS2	142	NQ	1.95
YJR006W	HYS2	51.5	NQ	2.95
YDR113C	PDS1	55.5	2.014	6.95
YLR233C	EST1	137.5	NQ	2.60
YJL225C	YJL225C	142.5	NQ	2.18
YJL225C	YJL225C	35	NQ	1.44
YJL019W	MPS3	69	76.891	1.71
YPL221W	YPL221W	124.5	NQ	2.07
YPL221W	YPL221W	12	NQ	3.26
YGL061C	DUO1	57	2.980	4.92
YNL263C	YIF1	170.5	NA	1.75
YNL263C	YIF1	36.5	2.065	2.20
YNL206C	RTT106	219.5	NQ	2.24
YNL206C	RTT106	27.5	NQ	2.87
YJL072C	PSF2	299.5	NQ	1.82
YJL072C	PSF2	54	NQ	1.37
YFL068W	YFL068W	135	NQ	1.57
YFL068W	YFL068W	31.5	NQ	2.11
YOL019W	YOL019W	48.5	1.938	5.44
YBL111C				
YML119W	YML119W	150.5	4.019	2.79
YML119W	YML119W	206	NA	1.61
YIL066C	RNR3	256	NQ	
YER190W				
YEL077C				
YLR466W	YRF1-4	140.5	NQ	1.35
YLR466W	YRF1-4	38	NQ	3.11
YNL272C	SEC2	46.5	NQ	2.06
YMR032W	HOF1	138	3.323	13.15
YLR049C	YLR049C	162.5	NQ	2.82
YLR049C	YLR049C	39.5	NQ	3.71
YFL066C				
YMR029C	FAR8	152	3.667	3.49
YMR029C	FAR8	46.5	NA	1.45
YJL073W	JEM1	46.5	1.905	3.70
YGR153W	YGR153W	60.5	NQ	3.31
YDL095W	PMT1	35	2.882	4.31
YER118C	SHO1	20.5	1.772	5.26
YBR038W	CHS2	135.5	6.352	11.08
YKL042W	SPC42	50	NA	3.62
YBR233W	PBP2	139	NQ	2.03
YBR233W	PBP2	41.5	NQ	1.32
YFR041C	YFR041C	50	NQ	3.56
YLR382C	NAM2	56.5	NQ	4.14
YJL181W	YJL181W	38.5	1.137	4.75
YPL057C	SUR1	173.5	2.268	3.93
YMR001C	CDC5	105.5	24.117	4.34
YLL066C	YLL066C	132	NQ	1.69
YLL066C	YLL066C	35.5	NQ	2.69
YLR190W	MMR1	121	2.589	4.14
YLR190W	MMR1	183	NA	1.49
YJL173C	RFA3	248.5	NA	2.33
YJL173C	RFA3	54	0.842	5.25
YOR288C	MPD1	44.5	NQ	6.89
YPL209C	IPL1	136.5	NA	1.28
YPL209C	IPL1	50.5	2.273	2.85
YER149C	PEA2	17	2.010	2.79
YER149C	PEA2	86.5	NA	1.83
YPR119W	CLB2	100.5	2.567	5.50
YDR013W	PSF1	173	NQ	1.76
YDR013W	PSF1	45	NQ	3.23
YPL014W	YPL014W	127	NQ	2.09
YPL014W	YPL014W	23.5	NQ	2.14
YNL278W	CAF120	114.5	NA	2.65
YNL278W	CAF120	37.5	1.209	3.21
YML021C	UNG1	31.5	2.241	6.06
YOR176W	HEM15	173.5	NQ	4.42
YOR176W	HEM15	50.5	NQ	2.78
YLR151C	PCD1	157.5	NQ	5.35
YEL061C	CIN8	65.5	2.587	3.63
YOR284W	HUA2	206	NQ	1.26
YOR284W	HUA2	51.5	NQ	3.40
YOR038C	HIR2	33.5	2.354	2.35
YDR545W				
YLL021W	SPA2	33.5	74.577	2.38
YLL021W	SPA2	99.5	74.577	2.30
YPL283C				
YER170W	ADK2	129	NA	3.76
YER170W	ADK2	49	1.162	5.59
YBR161W	CSH1	56.5	61.945	0.84
YBL113C				
YGL163C	RAD54	30	NQ	3.69
YPL127C	HHO1	160.5	NA	2.47
YPL127C	HHO1	58	1.853	4.71
YMR144W	YMR144W	43.5	6.779	5.70
YLR386W	VAC14	122.5	NQ	1.69
YLR386W	VAC14	46	NQ	2.55
YML133C	YML133C	37.5	0.722	7.42
YOR084W	YOR084W	153.5	2.451	8.81
YDL105W	QRI2	122	NQ	1.62
YDR297W	SUR2	12	NQ	4.76
YNL225C	CNM67	286.5	NA	1.18
YNL225C	CNM67	49	5.047	1.88
YHR023W	MYO1	146.5	10.659	2.99
YDR488C	PAC11	134.5	NA	2.61
YDR488C	PAC11	61	1.050	2.36
YLR462W	YLR462W	38.5	1.039	8.09
YJL051W	YJL051W	127.5	2.028	11.01
YHR159W	YHR159W	133	NQ	2.52
YHR159W	YHR159W	48	NQ	1.68
YDR501W	PLM2	38	NQ	2.78
YGR041W	BUD9	175.5	2.416	4.80
YGR041W	BUD9	233.5	NA	2.17
YAR003W	SWD1	129.5	NA	1.42
YAR003W	SWD1	40	2.302	2.81
YHR217C				
YBL112C	YBL112C	40.5	NQ	3.83
YNL290W	RFC3	23.5	3.844	3.79
YOR373W	NUD1	163	NA	1.11
YOR373W	NUD1	44.5	20.366	3.08
YLR131C	ACE2	144.5	4.205	8.75
YEL076C				
YCL022C	YCL022C	180.5	NQ	1.42
YCL022C	YCL022C	30	NQ	1.98
YBR276C	PPS1	123.5	NQ	1.93
YBR276C	PPS1	217.5	NQ	1.49
YAR018C	KIN3	162	3.899	7.18
YKR010C	TOF2	83	NQ	2.87
YHR188C	GPI16	134	NQ	2.72
YHR188C	GPI16	30.5	NQ	1.59
YER003C	PMI40	55.5	1.271	5.61
YGL116W	CDC20	149	2.664	5.55
YOL034W	SMC5	57	NQ	2.94
YLR376C	YLR376C	218	NQ	1.49
YLR376C	YLR376C	57	NQ	3.42
YGR108W	CLB1	89	1.111	11.24
YFL064C				
YML109W	ZDS2	178.5	NA	0.92
YML109W	ZDS2	43	2.920	2.23
YDR146C	SWI5	131.5	1.280	9.87
YOR073W	SGO1	168	NA	2.33
YOR073W	SGO1	68	1.653	3.40
YPL015C	HST2	134.5	NQ	3.50
YPL015C	HST2	45.5	NQ	1.85
YNL126W	SPC98	69.5	2.995	4.46
YFR046C	YFR046C	54.5	NQ	3.46
YPL007C	TFC8	181	NQ	1.98
YPL007C	TFC8	57	NQ	3.21
YNL077W	APJ1	225.5	NQ	3.78
YDR307W	YDR307W	179.5	NQ	2.22
YDR307W	YDR307W	49.5	NQ	2.39
YOR017W	PET127	35.5	NQ	2.92
YLR045C	STU2	78.5	4.188	5.00
YOR025W	HST3	105.5	NA	2.76
YOR025W	HST3	172.5	2.828	4.07
YNR009W	YNR009W	67.5	1.617	8.83
YKL067W	YNK1	126	NA	2.83
YKL067W	YNK1	49	17.636	2.98
YAL023C	PMT2	106	NA	2.10
YAL023C	PMT2	23.5	1.344	4.34
YKR077W	YKR077W	257.5	NA	1.82
YKR077W	YKR077W	37.5	0.935	5.47
YBL009W	YBL009W	72.5	2.330	4.51
YBL009W	YBL009W	9	NA	1.68
YBL002W	HTB2	72	4.182	14.85
YIL158W	YIL158W	131	3.302	10.03
YBR202W	CDC47	179.5	NA	1.30
YBR202W	CDC47	24	1.595	3.47
YNR061C	YNR061C	208	NQ	2.75
YNR061C	YNR061C	39.5	NQ	1.50
YJR092W	BUD4	122	2.638	8.77
YJL091C	GWT1	202	NQ	2.10
YJL091C	GWT1	51	NQ	3.91
YLR234W	TOP3	280	NQ	1.29
YLR234W	TOP3	90	NQ	1.06
YGR015C	YGR015C	140.5	NQ	2.85
YGR015C	YGR015C	53	NQ	1.40
YIR008C	PRI1	276.5	NQ	1.69
YIR008C	PRI1	54.5	NQ	2.38
YIL106W	MOB1	142	NQ	2.56
YIL106W	MOB1	212	NQ	1.24
YDR224C	HTB1	155	NA	1.47
YDR224C	HTB1	59.5	NA	2.17
YDR481C	PHO8	148	NQ	2.63
YDR481C	PHO8	250.5	NQ	1.70
YOL149W	DCP1	182	NQ	2.24
YOL149W	DCP1	43	NQ	1.43
YOL006C	TOP1	180	NQ	2.51
YOL006C	TOP1	51.5	NQ	1.17
YNL058C	YNL058C	135.5	1.836	8.84
YPL242C	IQG1	147.5	1.941	5.20
YHR172W	SPC97	62	1.589	7.70
YGL200C	EMP24	124	NQ	1.59
YGL200C	EMP24	42	NQ	3.51
YDR544C				
YHR050W	SMF2	123	NQ	2.63
YHR050W	SMF2	45	NQ	1.94
YGR014W	MSB2	56.5	2.224	7.95
YBR245C	ISW1	104	NQ	1.86
YBR245C	ISW1	27.5	NQ	3.13
YBL003C	HTA2	154.5	NA	2.01
YBL003C	HTA2	59	2.343	2.38
YGR188C	BUB1	212.5	122.134	1.09
YGR188C	BUB1	67.5	122.134	3.09
YDR144C				
YAL007C	ERP2	40.5	1.377	4.42
YHR158C	KEL1	140.5	NA	1.91
YHR158C	KEL1	55.5	2.488	2.71
YGL094C	PAN2	231.5	NQ	2.01
YGL094C	PAN2	61.5	NQ	2.39
YEL064C	AVT2	265	NQ	1.47
YEL064C	AVT2	48.5	NQ	2.17
YBL034C	STU1	265.5	NA	1.11
YBL034C	STU1	41.5	5.886	2.77
YOL070C	YOL070C	161	3.172	2.79
YOL070C	YOL070C	286	NA	1.25
YGL021W	ALK1	129.5	1.845	6.55
YFL060C				
YBR138C	YBR138C	143	2.599	5.72
YNL030W	HHF2	157	NA	2.19
YNL030W	HHF2	63	2.095	3.17
YML034W	SRC1	161.5	NA	0.77
YML034W	SRC1	267.5	99.218	1.25
YLR463C	YLR463C	134	NQ	2.03
YLR463C	YLR463C	274.5	NQ	1.93
YLR182W	SWI6	146	4.813	3.68
YPL141C	YPL141C	143.5	148.367	0.56
YPL141C	YPL141C	2.5	148.367	0.66
YOR315W	YOR315W	99	1.062	10.90
YNL166C	BNI5	12.5	NA	2.21
YNL166C	BNI5	68.5	1.908	4.42
YDR518W	EUG1	46	NQ	4.77
YHL049C				
YBR098W	MMS4	54	NQ	2.84
YLR273C	PIG1	165.5	2.592	5.14
YGR238C	KEL2	129.5	3.540	2.70
YGR238C	KEL2	45.5	1.474	2.75
YPL155C	KIP2	102	69.027	0.88
YPL155C	KIP2	6	69.027	1.69
YPR185W	ATG13	205.5	NQ	1.94
YPR185W	ATG13	51	NQ	2.04
YLR326W	YLR326W	122	NQ	1.46
YLR326W	YLR326W	13	NQ	2.35
YLR274W	CDC46	173	NA	1.94
YLR274W	CDC46	17.5	1.793	4.16
YJL092W	HPR5	65.5	1.604	4.06
YJL079C	PRY1	134	NA	2.10
YJL079C	PRY1	27.5	NA	2.82
YGL241W	KAP114	208	NQ	1.30
YGL241W	KAP114	61	NQ	2.26
YOR372C	NDD1	157	NQ	1.92
YOR372C	NDD1	67	NQ	2.03
YOR039W	CKB2	159	NQ	1.74
YOR039W	CKB2	3.5	NQ	1.96
YLR457C	NBP1	248.5	NQ	1.83
YLR457C	NBP1	55.5	NQ	2.44
YIL132C	CSM2	40.5	8.419	3.72
YBR010W	HHT1	137.5	NA	3.13
YBR010W	HHT1	64	NA	4.07
YMR177W	MMT1	18.5	NQ	4.95
YER014W	HEM14	235	NQ	0.43
YMR011W	HXT2	4	NQ	2.85
YEL040W	UTR2	19.5	1.251	6.68
YEL040W	UTR2	84	NA	4.09
YPL115C	BEM3	28.5	NQ	1.74
YML101C	CUE4	157	NQ	3.43
YBL086C	YBL086C	161.5	NQ	3.79
YBL086C	YBL086C	259	NQ	1.72
YPL008W	CHL1	273.5	NQ	1.06
YPL008W	CHL1	56	NQ	2.20
YOR058C	ASE1	165.5	2.679	4.88
YKL066W	YKL066W	127.5	NQ	2.68
YKL066W	YKL066W	36.5	NQ	1.80
YDR014W	RAD61	256	NQ	1.64
YDR014W	RAD61	43	NQ	2.33
YBL031W	SHE1	74.5	3.003	4.41
YPL032C	SVL3	15.5	NA	1.81
YPL032C	SVL3	69	2.963	3.21
YKR037C	SPC34	148	NQ	2.24
YKR037C	SPC34	68	NQ	1.81
YJL159W	HSP150	164.5	1.159	4.64
YJL159W	HSP150	21	NA	1.35
YOL011W	PLB3	157	NQ	3.25
YEL075C				
YOR026W	BUB3	161.5	1.299	3.23
